#   time            Cubic	   Hexagonal 
   2.3500000e+01   8.8452667e+03   3.1236800e+04
   2.3600000e+01   8.8895333e+03   3.1376267e+04
   2.3700000e+01   8.9233333e+03   3.1557067e+04
   2.3800000e+01   8.9864667e+03   3.1737133e+04
   2.3900000e+01   9.0109333e+03   3.1754867e+04
   2.4000000e+01   9.0490000e+03   3.1895200e+04
   2.4100000e+01   9.1098000e+03   3.2081200e+04
   2.4200000e+01   9.1392667e+03   3.2190667e+04
   2.4300000e+01   9.2192000e+03   3.2375933e+04
   2.4400000e+01   9.2038000e+03   3.2503067e+04
   2.4500000e+01   9.2638000e+03   3.2744600e+04
   2.4600000e+01   9.3179333e+03   3.2826333e+04
   2.4700000e+01   9.3256667e+03   3.2993600e+04
   2.4800000e+01   9.3693333e+03   3.3167133e+04
   2.4900000e+01   9.4233333e+03   3.3441600e+04
   2.5000000e+01   9.4416000e+03   3.3643600e+04
   2.5100000e+01   9.4938000e+03   3.3829133e+04
   2.5200000e+01   9.5405333e+03   3.3962333e+04
   2.5300000e+01   9.5723333e+03   3.4192600e+04
   2.5400000e+01   9.6321333e+03   3.4365267e+04
   2.5500000e+01   9.6848000e+03   3.4625267e+04
   2.5600000e+01   9.7227333e+03   3.4812667e+04
   2.5700000e+01   9.7416667e+03   3.5083733e+04
   2.5800000e+01   9.7843333e+03   3.5237600e+04
   2.5900000e+01   9.7961333e+03   3.5322400e+04
   2.6000000e+01   9.8197333e+03   3.5473067e+04
   2.6100000e+01   9.8749333e+03   3.5575933e+04
   2.6200000e+01   9.8497333e+03   3.5647000e+04
   2.6300000e+01   9.9041333e+03   3.5836600e+04
   2.6400000e+01   9.9817333e+03   3.5987333e+04
   2.6500000e+01   1.0003733e+04   3.6066800e+04
   2.6600000e+01   1.0050800e+04   3.6221933e+04
   2.6700000e+01   1.0066800e+04   3.6300400e+04
   2.6800000e+01   1.0096867e+04   3.6429600e+04
   2.6900000e+01   1.0108800e+04   3.6560067e+04
   2.7000000e+01   1.0093067e+04   3.6554667e+04
   2.7100000e+01   1.0135533e+04   3.6717733e+04
   2.7200000e+01   1.0180867e+04   3.6746133e+04
   2.7300000e+01   1.0221200e+04   3.6874400e+04
   2.7400000e+01   1.0222733e+04   3.6983133e+04
   2.7500000e+01   1.0272133e+04   3.7151867e+04
   2.7600000e+01   1.0272600e+04   3.7243333e+04
   2.7700000e+01   1.0296600e+04   3.7350467e+04
   2.7800000e+01   1.0291467e+04   3.7552667e+04
   2.7900000e+01   1.0250867e+04   3.7680800e+04
   2.8000000e+01   1.0291200e+04   3.7830000e+04
   2.8100000e+01   1.0324800e+04   3.7991200e+04
   2.8200000e+01   1.0327667e+04   3.8095267e+04
   2.8300000e+01   1.0364333e+04   3.8273533e+04
   2.8400000e+01   1.0385267e+04   3.8345267e+04
   2.8500000e+01   1.0406067e+04   3.8475200e+04
   2.8600000e+01   1.0418867e+04   3.8512333e+04
   2.8700000e+01   1.0426200e+04   3.8612533e+04
   2.8800000e+01   1.0423200e+04   3.8707067e+04
   2.8900000e+01   1.0460400e+04   3.8745267e+04
   2.9000000e+01   1.0483933e+04   3.8797067e+04
   2.9100000e+01   1.0511533e+04   3.8971133e+04
   2.9200000e+01   1.0529067e+04   3.9053733e+04
   2.9300000e+01   1.0547267e+04   3.9168333e+04
   2.9400000e+01   1.0578467e+04   3.9288400e+04
   2.9500000e+01   1.0595867e+04   3.9339600e+04
   2.9600000e+01   1.0589400e+04   3.9461067e+04
   2.9700000e+01   1.0587133e+04   3.9574400e+04
   2.9800000e+01   1.0565000e+04   3.9628533e+04
   2.9900000e+01   1.0619067e+04   3.9712667e+04
   3.0000000e+01   1.0629933e+04   3.9782133e+04
   3.0100000e+01   1.0654800e+04   3.9774200e+04
   3.0200000e+01   1.0648133e+04   3.9858867e+04
   3.0300000e+01   1.0665133e+04   3.9945800e+04
   3.0400000e+01   1.0668933e+04   4.0001733e+04
   3.0500000e+01   1.0659400e+04   4.0108933e+04
   3.0600000e+01   1.0674333e+04   4.0265600e+04
   3.0700000e+01   1.0705867e+04   4.0397867e+04
   3.0800000e+01   1.0730200e+04   4.0432000e+04
   3.0900000e+01   1.0724133e+04   4.0607133e+04
   3.1000000e+01   1.0751933e+04   4.0694600e+04
   3.1100000e+01   1.0749067e+04   4.0767533e+04
   3.1200000e+01   1.0770400e+04   4.0855733e+04
   3.1300000e+01   1.0795000e+04   4.0891667e+04
   3.1400000e+01   1.0840333e+04   4.1024733e+04
   3.1500000e+01   1.0852800e+04   4.1059333e+04
   3.1600000e+01   1.0869467e+04   4.1222533e+04
   3.1700000e+01   1.0886000e+04   4.1257467e+04
   3.1800000e+01   1.0910800e+04   4.1380667e+04
   3.1900000e+01   1.0957267e+04   4.1429533e+04
   3.2000000e+01   1.0988867e+04   4.1549000e+04
   3.2100000e+01   1.0963933e+04   4.1659533e+04
   3.2200000e+01   1.1013400e+04   4.1738733e+04
   3.2300000e+01   1.0997600e+04   4.1777000e+04
   3.2400000e+01   1.1021467e+04   4.1825133e+04
   3.2500000e+01   1.1026533e+04   4.1882000e+04
   3.2600000e+01   1.1062533e+04   4.1912467e+04
   3.2700000e+01   1.1059933e+04   4.1939667e+04
   3.2800000e+01   1.1046067e+04   4.1974333e+04
   3.2900000e+01   1.1050133e+04   4.1953667e+04
   3.3000000e+01   1.1062333e+04   4.1978800e+04
   3.3100000e+01   1.1050400e+04   4.1996867e+04
   3.3200000e+01   1.1084867e+04   4.2020800e+04
   3.3300000e+01   1.1068533e+04   4.2074400e+04
   3.3400000e+01   1.1066333e+04   4.2085200e+04
   3.3500000e+01   1.1090667e+04   4.2092600e+04
   3.3600000e+01   1.1089000e+04   4.2194733e+04
   3.3700000e+01   1.1066533e+04   4.2172400e+04
   3.3800000e+01   1.1089867e+04   4.2216667e+04
   3.3900000e+01   1.1113667e+04   4.2198467e+04
   3.4000000e+01   1.1130333e+04   4.2192533e+04
   3.4100000e+01   1.1161733e+04   4.2155867e+04
   3.4200000e+01   1.1179933e+04   4.2228133e+04
   3.4300000e+01   1.1175867e+04   4.2259800e+04
   3.4400000e+01   1.1193200e+04   4.2312000e+04
   3.4500000e+01   1.1200733e+04   4.2355267e+04
   3.4600000e+01   1.1176333e+04   4.2413533e+04
   3.4700000e+01   1.1203867e+04   4.2477267e+04
   3.4800000e+01   1.1217533e+04   4.2499200e+04
   3.4900000e+01   1.1209800e+04   4.2548800e+04
   3.5000000e+01   1.1229400e+04   4.2557400e+04
   3.5100000e+01   1.1198133e+04   4.2570867e+04
   3.5200000e+01   1.1214533e+04   4.2602400e+04
   3.5300000e+01   1.1224533e+04   4.2590267e+04
   3.5400000e+01   1.1265267e+04   4.2621133e+04
   3.5500000e+01   1.1288200e+04   4.2706800e+04
   3.5600000e+01   1.1301667e+04   4.2797400e+04
   3.5700000e+01   1.1288400e+04   4.2779067e+04
   3.5800000e+01   1.1271733e+04   4.2884400e+04
   3.5900000e+01   1.1288600e+04   4.2946667e+04
   3.6000000e+01   1.1291933e+04   4.2987200e+04
   3.6100000e+01   1.1299600e+04   4.3006133e+04
   3.6200000e+01   1.1309800e+04   4.3042733e+04
   3.6300000e+01   1.1311067e+04   4.3145800e+04
   3.6400000e+01   1.1322667e+04   4.3104733e+04
   3.6500000e+01   1.1338133e+04   4.3123000e+04
   3.6600000e+01   1.1304467e+04   4.3133333e+04
   3.6700000e+01   1.1309200e+04   4.3214133e+04
